SKU,Country,Region,Key Figure,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Scenario,TimeStamp
440000,BR,LA,OPENING STOCK,2000,1800,1600,1400,1200,1000,800,600,400,200,0,0,0,Baseline,7/26/2023 12:58
440000,BR,LA,PRODUCTION,0,0,0,0,0,0,0,0,0,0,0,0,0,Baseline,7/26/2023 12:58
440000,BR,LA,CLOSING STOCK,0,0,0,0,0,0,0,0,0,0,0,0,0,Baseline,7/26/2023 12:58
440000,BR,LA,DIFC,0,0,0,0,0,0,0,0,0,0,0,0,0,Baseline,7/26/2023 12:58
560000,MX,LA,OPENING STOCK,1600,1800,1600,1400,1200,1000,800,600,400,200,0,0,0,Baseline,7/26/2023 12:58
560000,MX,LA,PRODUCTION,0,0,0,0,0,0,0,0,0,0,0,0,0,Baseline,7/26/2023 12:58
560000,MX,LA,CLOSING STOCK,0,0,0,0,0,0,0,0,0,0,0,0,0,Baseline,7/26/2023 12:58
560000,MX,LA,DIFC,0,0,0,0,0,0,0,0,0,0,0,0,0,Baseline,7/26/2023 12:58
680000,AR,LA,OPENING STOCK,2500,1800,1600,1400,1200,1000,800,600,400,200,0,0,0,Baseline,7/26/2023 12:58
680000,AR,LA,PRODUCTION,0,0,0,0,0,0,0,0,0,0,0,0,0,Baseline,7/26/2023 12:58
680000,AR,LA,CLOSING STOCK,0,0,0,0,0,0,0,0,0,0,0,0,0,Baseline,7/26/2023 12:58
680000,AR,LA,DIFC,0,0,0,0,0,0,0,0,0,0,0,0,0,Baseline,7/26/2023 12:58
